profitability,title,release_date
2,"The Count of Monte Cristo",2002-01-23
2,"The Lincoln Lawyer",2011-03-17
2,"The Prestige",2006-10-19
2,"Horrible Bosses 2",2014-11-26
2,"Secret Window",2004-03-12
2,"The Lake House",2006-06-16
2,"The Skeleton Key",2005-07-29
2,"Made of Honor",2008-05-02
2,Amistad,1997-12-03
2,Paul,2011-02-14
2,"Scream 4",2011-04-11
2,8MM,1999-02-26
2,Snowpiercer,2013-08-01
2,"Baahubali: The Beginning",2015-07-10
2,"The Time Traveler's Wife",2009-08-14
2,"Paul Blart: Mall Cop 2",2015-04-16
2,Riddick,2013-09-02
2,"The 5th Wave",2016-01-14
2,"Nim's Island",2008-04-03
2,Rush,2013-09-02
2,"How to Be Single",2016-01-21
2,"Dolphin Tale",2011-09-23
2,"John Q",2002-02-15
2,"The Rite",2011-01-28
2,"Sky High",2005-07-29
2,TMNT,2007-03-23
2,"This Is 40",2012-12-20
2,"Old Dogs",2009-11-24
2,"Underworld: Rise of the Lycans",2009-01-22
2,"Max Payne",2008-10-15
2,"The Back-Up Plan",2010-04-23
2,"Street Fighter",1994-12-22
2,"J. Edgar",2011-11-09
2,Mirrors,2008-08-15
2,"Nanny McPhee and the Big Bang",2010-03-26
2,"The X Files: I Want to Believe",2008-07-24
2,Abduction,2011-09-22
2,"The Darkest Hour",2011-12-22
2,"Nacho Libre",2006-06-16
2,Takers,2010-08-26
2,"Big Mommas: Like Father, Like Son",2011-02-16
2,"The Number 23",2007-02-23
2,"Transporter 2",2005-08-02
2,"Apocalypse Now",1979-08-15
2,Frequency,2000-04-28
2,"Analyze This",1999-03-05
2,"The Prince of Tides",1991-12-25
2,"Four Brothers",2005-08-11
2,"Baby Mama",2008-04-23
2,"13 Going on 30",2004-04-13
2,"Star Trek V: The Final Frontier",1989-06-09
2,"Corpse Bride",2005-09-09
2,Sicario,2015-09-17
2,"The Age of Adaline",2015-04-16
2,"Blue Crush",2002-08-08
2,"30 Days of Night",2007-10-17
2,"The Cabin in the Woods",2012-04-12
2,"Meet the Spartans",2008-01-24
2,Hanna,2011-04-07
2,Carrie,2013-10-16
2,"Side Effects",2013-02-07
2,"Dumb and Dumberer: When Harry Met Lloyd",2003-06-13
2,"The Imaginarium of Doctor Parnassus",2009-10-01
2,"Runner Runner",2013-09-24
2,"The Boss",2016-04-07
2,"Seed of Chucky",2004-11-11
2,Miracle,2004-02-06
2,"The Wedding Planner",2001-01-26
2,Serendipity,2001-10-05
2,Zoolander,2001-09-28
2,"We Own the Night",2007-05-25
2,"Kick-Ass 2",2013-07-17
2,"Brick Mansions",2014-04-22
2,"Kiss the Girls",1997-10-03
2,"Lake Placid",1999-07-15
2,"Lucky Number Slevin",2006-02-24
2,"The Newton Boys",1998-03-26
2,"Ever After: A Cinderella Story",1998-07-31
2,Flatliners,1990-08-09
2,"A Bridge Too Far",1977-06-15
2,"Red Eye",2005-08-04
2,"O Brother, Where Art Thou?",2000-08-30
2,Legion,2010-01-21
2,"New Year's Eve",2011-12-08
2,"Legally Blonde 2: Red, White & Blonde",2003-07-02
2,Tombstone,1993-12-25
2,"Bridge to Terabithia",2007-02-16
2,"Agent Cody Banks",2003-03-14
2,Scarface,1983-12-08
2,Contraband,2012-01-12
2,"Kiss of the Dragon",2001-07-06
2,"The House Bunny",2008-08-22
2,"The Giver",2014-08-11
2,"Good Luck Chuck",2007-09-21
2,"Cradle 2 the Grave",2003-02-28
2,"August Rush",2007-11-21
2,Elizabeth,1998-09-13
2,"Bride of Chucky",1998-10-16
2,"August: Osage County",2013-12-26
2,"Eddie the Eagle",2016-02-26
2,"Maximum Risk",1996-09-13
2,"The Counselor",2013-10-25
2,"Dangerous Liaisons",1988-12-16
2,"Think Like a Man Too",2014-06-20
2,"The Whole Nine Yards",2000-02-18
2,"The Men Who Stare at Goats",2009-10-17
2,"Final Destination",2000-03-16
2,"Pitch Black",2000-02-18
2,Her,2013-12-18
2,"Jaws: The Revenge",1987-07-17
2,Derailed,2005-11-11
2,"Hail, Caesar!",2016-02-05
2,"The Transporter Refueled",2015-09-03
2,"Teenage Mutant Ninja Turtles III",1993-03-17
2,"The Transporter",2002-10-02
2,"Never Back Down",2008-03-04
2,Drumline,2002-12-13
2,"Edward Scissorhands",1990-12-05
2,"Date Movie",2006-02-17
2,Orphan,2009-07-24
2,Max,2015-06-26
2,"Man of the Year",2006-10-09
2,"This Is Where I Leave You",2014-09-10
2,Doubt,2008-11-27
2,"Texas Chainsaw 3D",2013-01-03
2,Milk,2008-11-26
2,Risen,2016-02-19
2,"The Debt",2010-04-11
2,"The World's End",2013-07-18
2,Daybreakers,2009-01-06
2,"She's Out of My League",2010-03-11
2,"Silent Hill: Revelation 3D",2012-10-10
2,"Sweet Charity",1969-01-01
2,"The Proposition",2005-10-06
2,"The Shining",1980-05-22
2,"House on Haunted Hill",1999-10-29
2,"The Switch",2010-05-11
2,"The Crazies",2010-02-26
2,Amadeus,1984-10-26
2,"Peggy Sue Got Married",1986-10-05
2,"Soul Surfer",2011-04-08
2,"Love Happens",2009-09-18
2,"Hotel Rwanda",2004-09-11
2,Beastly,2011-01-21
2,"The Illusionist",2006-08-18
2,"Wall Street",1987-12-10
2,"Becoming Jane",2007-03-02
2,"The Roommate",2011-02-04
2,"Double Impact",1991-08-10
2,"Hachi: A Dog's Tale",2009-06-13
2,"The Faculty",1998-12-25
2,"Cop Land",1997-08-15
2,"The Skulls",2000-03-31
2,"Where the Heart Is",2000-04-27
2,"Halloween II",2009-08-28
2,"The Last House on the Left",2009-03-13
2,"Halloween: Resurrection",2002-07-01
2,"The Great Debaters",2007-12-27
2,"When the Game Stands Tall",2014-08-22
2,"Because of Winn-Dixie",2005-02-18
2,"All About Steve",2009-09-04
2,"The Remains of the Day",1993-11-05
2,"Boogie Nights",1997-09-11
2,"Urban Legends: Final Cut",2000-09-19
2,"The Place Beyond the Pines",2013-03-20
2,"The November Man",2014-08-27
2,"The Hurt Locker",2008-10-10
2,"Killing Them Softly",2012-09-20
2,"A Most Wanted Man",2014-07-25
2,"In Bruges",2008-02-08
2,"Whatever Works",2009-06-19
2,"White Fang",1991-01-18
2,"Exorcist II: The Heretic",1977-06-17
2,"Far from Heaven",2002-09-01
2,"The Big Hit",1998-04-24
2,"Child's Play 2",1990-11-09
2,"Ex Machina",2015-01-21
2,Dick,1999-08-04
2,"The Perks of Being a Wallflower",2012-09-20
2,"Sorority Row",2009-09-09
2,Yentl,1983-11-18
2,"Johnson Family Vacation",2004-04-07
2,"How High",2001-12-21
2,"Katy Perry: Part of Me",2012-06-28
2,Arbitrage,2012-09-14
2,"Project Almanac",2015-01-30
2,"History of the World: Part I",1981-06-12
2,"Corky Romano",2001-10-12
2,Tomcats,2001-03-30
2,"What's Eating Gilbert Grape",1993-12-17
2,"Inside Llewyn Davis",2013-10-06
2,"Kabhi Alvida Naa Kehna",2006-08-11
2,"Mad Max Beyond Thunderdome",1985-06-29
2,"The Last Dragon",1985-03-22
2,"Twilight Zone: The Movie",1983-06-24
2,"Road House",1989-05-19
2,"A Low Down Dirty Shame",1994-11-23
2,"Can't Hardly Wait",1998-06-12
2,"Pete's Dragon",2016-08-10
2,"The Dead Zone",1983-10-21
2,"Wrong Turn",2003-05-30
2,Mud,2013-05-01
2,"Reno 911!: Miami",2007-02-23
2,"Big Eyes",2014-12-24
2,"Black or White",2014-09-06
2,"My Blueberry Nights",2007-05-16
2,Amour,2012-07-01
2,Melancholia,2011-05-26
2,Sicko,2007-05-18
2,"Harold & Kumar Go to White Castle",2004-05-30
2,"Trading Places",1983-06-07
2,"Black Christmas",2006-12-25
2,"The Way of the Gun",2000-09-08
2,"Glee: The Concert Movie",2011-08-11
2,Barbecue,2014-04-30
2,"Baggage Claim",2013-09-27
2,"Drive Me Crazy",1999-10-01
2,"Akeelah and the Bee",2006-04-28
2,"Half Baked",1998-01-16
2,"The Good Girl",2002-01-12
2,"Another Year",2010-11-05
2,"Swimming Pool",2003-05-18
2,"The Wave",2008-03-11
2,"Logan's Run",1976-06-23
2,"Action Jackson",1988-02-12
2,"Flirting with Disaster",1996-03-22
2,"In Too Deep",1999-08-25
2,"House of 1000 Corpses",2003-04-11
2,"Beyond the Lights",2014-09-10
2,"Friends with Money",2006-09-07
2,Shame,2011-10-02
2,"A Nightmare on Elm Street 5: The Dream Child",1989-08-11
2,"Tales from the Hood",1995-05-24
2,"Halloween 5: The Revenge of Michael Myers",1989-10-12
2,"The Words",2012-09-07
2,"High Plains Drifter",1973-04-19
2,"Friday the 13th Part VIII: Jason Takes Manhattan",1989-07-28
2,"Lone Star",1996-06-21
2,"Lone Wolf McQuade",1983-04-14
2,"Solomon and Sheba",1959-12-25
2,"Pat Garrett & Billy the Kid",1973-05-23
2,"Only God Forgives",2013-05-30
2,"Moby Dick",1956-06-27
2,"Moms' Night Out",2014-03-25
2,"The Great Escape",1963-06-20
2,"The Misfits",1961-01-01
2,Secretary,2002-01-11
2,"Hell's Angels",1930-11-15
2,"Annie Get Your Gun",1950-05-17
2,"She's the One",1996-08-26
2,"The Man Who Shot Liberty Valance",1962-04-22
2,"Phantasm II",1988-07-08
2,"Woman Thou Art Loosed",2004-09-30
2,"Hustle & Flow",2005-07-22
2,"Diary of the Dead",2007-09-08
2,"Donovan's Reef",1963-06-12
2,"A Guy Named Joe",1944-03-01
2,"Singin' in the Rain",1952-04-10
2,"Before Sunrise",1995-01-27
2,"The Spectacular Now",2013-08-02
2,"Get on the Bus",1996-10-16
2,"Bathing Beauty",1944-07-01
2,Thirteen,2003-08-20
2,"Alexander's Ragtime Band",1938-05-24
2,"Harsh Times",2005-09-11
2,Shortbus,2006-05-20
2,"The Conversation",1974-04-07
2,"The To Do List",2013-07-24
2,"Lock, Stock and Two Smoking Barrels",1998-03-05
2,C.H.U.D.,1984-08-31
2,"Home Run",2013-04-19
2,"The Charge of the Light Brigade",1936-10-20
2,"Two Girls and a Guy",1997-09-07
2,"Dead Snow",2009-01-09
2,L.I.E.,2001-01-20
2,"Conversations with Other Women",2006-06-07
2,"My Beautiful Laundrette",1985-09-07
2,"12 Angry Men",1957-03-25
2,Cube,1997-09-09
1,"John Carter",2012-03-07
1,"Superman Returns",2006-06-28
1,"The Chronicles of Narnia: Prince Caspian",2008-05-15
1,"Robin Hood",2010-05-12
1,Battleship,2012-04-11
1,"Green Lantern",2011-06-16
1,"Terminator Salvation",2009-05-20
1,"Jack the Giant Slayer",2013-02-27
1,"The Good Dinosaur",2015-11-14
1,"Star Trek Beyond",2016-07-07
1,"Rush Hour 3",2007-08-08
1,"A Christmas Carol",2009-11-04
1,"Jupiter Ascending",2015-02-04
1,"The Legend of Tarzan",2016-06-29
1,Hugo,2011-11-22
1,"Wild Wild West",1999-06-29
1,Waterworld,1995-07-28
1,"G.I. Joe: The Rise of Cobra",2009-08-04
1,Tomorrowland,2015-05-19
1,"The Polar Express",2004-11-10
1,"The Sorcerer's Apprentice",2010-07-13
1,Poseidon,2006-05-12
1,"Alice Through the Looking Glass",2016-05-25
1,Alexander,2004-11-21
1,G-Force,2009-07-21
1,"Dark Shadows",2012-05-08
1,"Bee Movie",2007-10-28
1,"White House Down",2013-06-27
1,"Mr. Peabody & Sherman",2014-02-07
1,Ghostbusters,2016-07-14
1,"Exodus: Gods and Kings",2014-12-03
1,"Gods of Egypt",2016-02-25
1,Watchmen,2009-03-05
1,Hulk,2003-06-19
1,"Master and Commander: The Far Side of the World",2003-11-14
1,"Happy Feet Two",2011-11-17
1,"The Incredible Hulk",2008-06-12
1,"The BFG",2016-06-01
1,Rango,2011-03-02
1,"After Earth",2013-05-30
1,"Clash of the Titans",2010-04-01
1,"Batman & Robin",1997-06-20
1,"Stuart Little 2",2002-07-19
1,"The Chronicles of Riddick",2004-06-11
1,"Asterix at the Olympic Games",2008-01-13
1,"The Huntsman: Winter's War",2016-04-06
1,"Dante's Peak",1997-02-07
1,"Teenage Mutant Ninja Turtles: Out of the Shadows",2016-06-01
1,"Fantastic Four",2015-08-05
1,"The Patriot",2000-06-28
1,"The Green Hornet",2011-01-12
1,Allegiant,2016-03-09
1,"Speed 2: Cruise Control",1997-06-13
1,"Ender's Game",2013-10-23
1,"Kingdom of Heaven",2005-05-03
1,"The Island",2005-07-20
1,"The Taking of Pelham 1 2 3",2009-06-11
1,"The Other Guys",2010-08-06
1,"The Hunchback of Notre Dame",1996-06-21
1,"The Emperor's New Groove",2000-12-09
1,"Where the Wild Things Are",2009-10-16
1,"Blood Diamond",2006-12-07
1,"Starship Troopers",1997-11-06
1,"Cloud Atlas",2012-10-26
1,"Legend of the Guardians: The Owls of Ga'Hoole",2010-07-10
1,"Point Break",2015-12-03
1,"The Spanish Prisoner",1997-09-08
1,"Gangs of New York",2002-12-14
1,"The Flowers of War",2011-12-15
1,"Surf's Up",2007-06-08
1,"The Stepford Wives",2004-06-10
1,"Black Hawk Down",2001-12-28
1,"The Lovely Bones",2009-12-26
1,"Seventh Son",2014-12-12
1,Transcendence,2014-04-16
1,"The Spiderwick Chronicles",2008-02-14
1,Unstoppable,2010-11-04
1,"What Lies Beneath",2000-07-21
1,"Atlantis: The Lost Empire",2001-06-02
1,Contact,1997-07-11
1,"Percy Jackson: Sea of Monsters",2013-08-07
1,"Lara Croft Tomb Raider: The Cradle of Life",2003-07-21
1,"The Saint",1997-04-03
1,"Spy Game",2001-11-18
1,"The Devil's Own",1997-03-12
1,"Cinderella Man",2005-06-02
1,Seabiscuit,2003-07-22
1,"The Three Musketeers",2011-08-31
1,"Enemy at the Gates",2001-03-13
1,"Last Action Hero",1993-06-18
1,"Memoirs of a Geisha",2005-12-06
1,"The Fast and the Furious: Tokyo Drift",2006-06-03
1,"Meet Joe Black",1998-11-12
1,"The Core",2003-03-28
1,"Nutty Professor II: The Klumps",2000-07-27
1,"Cats & Dogs 2 : The Revenge of Kitty Galore",2010-07-30
1,"Hellboy II: The Golden Army",2008-07-11
1,Zodiac,2007-03-02
1,"The 6th Day",2000-11-17
1,"Lilo & Stitch",2002-06-21
1,"Charlotte's Web",2006-12-15
1,"Deep Impact",1998-05-08
1,"The Book of Eli",2010-01-14
1,"The Haunting",1999-07-23
1,"Conspiracy Theory",1997-08-07
1,"Spirit: Stallion of the Cimarron",2002-05-24
1,"Lost in Space",1998-04-03
1,"The Manchurian Candidate",2004-07-30
1,"Fantasia 2000",1999-12-17
1,"The Time Machine",2002-03-04
1,Swordfish,2001-06-07
1,"The Legend of Zorro",2005-10-24
1,"The Brothers Grimm",2005-08-26
1,"Mars Attacks!",1996-12-12
1,Surrogates,2009-09-24
1,Daylight,1996-12-06
1,"Walking With Dinosaurs",2013-12-18
1,"The Last Witch Hunter",2015-10-21
1,"Arthur and the Invisibles",2006-12-13
1,Hidalgo,2004-03-05
1,"Jack and Jill",2011-11-11
1,"The Little Prince",2015-07-29
1,Hairspray,2007-07-13
1,"Now You See Me",2013-05-29
1,"Charlie Wilson's War",2007-12-19
1,"Be Cool",2005-03-04
1,Munich,2005-12-22
1,"Tears of the Sun",2003-03-07
1,Killers,2010-06-04
1,"The Man from U.N.C.L.E.",2015-08-13
1,"Monster House",2006-07-21
1,Hostage,2005-03-09
1,"Sucker Punch",2011-03-24
1,"Snake Eyes",1998-08-07
1,"Fool's Gold",2008-02-07
1,"The Kingdom",2007-08-22
1,Jarhead,2005-11-04
1,S.W.A.T.,2003-08-08
1,"We Were Soldiers",2002-03-01
1,"Star Trek: Insurrection",1998-12-10
1,"Big Fish",2003-12-25
1,"The Abyss",1989-08-09
1,"Wall Street: Money Never Sleeps",2010-09-02
1,"The Siege",1998-11-06
1,Stardust,2007-08-09
1,"Seven Years in Tibet",1997-09-12
1,"The Score",2001-07-13
1,"Body of Lies",2008-10-10
1,"Dinner for Schmucks",2010-07-30
1,"Abraham Lincoln: Vampire Hunter",2012-06-20
1,Dreamcatcher,2003-03-21
1,"Step Brothers",2008-07-25
1,"Space Cowboys",2000-07-31
1,"The Kid",2000-07-07
1,"Blade: Trinity",2004-12-08
1,"Death Race",2008-08-22
1,"The Long Kiss Goodnight",1996-10-11
1,"Fight Club",1999-10-15
1,"I, Frankenstein",2014-01-22
1,Elektra,2005-01-13
1,"Random Hearts",1999-10-08
1,"Dragon Blade",2015-02-19
1,"Little Man",2006-08-31
1,"The American President",1995-11-17
1,"Cats & Dogs",2001-07-04
1,"Two Weeks Notice",2002-12-19
1,RED,2010-10-13
1,"Any Given Sunday",1999-12-16
1,"Ladder 49",2004-10-01
1,"Deep Blue Sea",1999-07-28
1,"Man on Fire",2004-04-23
1,"The Shaggy Dog",2006-03-09
1,Hellboy,2004-04-02
1,ParaNorman,2012-08-03
1,Paycheck,2003-12-25
1,"Under Siege 2: Dark Territory",1995-07-13
1,Joy,2015-12-24
1,Shooter,2007-03-22
1,"The Boxtrolls",2014-09-10
1,"Gangster Squad",2013-01-10
1,"Year One",2009-06-18
1,"State of Play",2009-04-17
1,"The Sentinel",2006-04-19
1,"Planet 51",2009-11-19
1,"Star Trek: Nemesis",2002-12-13
1,"Intolerable Cruelty",2003-09-02
1,"Righteous Kill",2008-09-11
1,"xXx: State of the Union",2005-04-27
1,Priest,2011-05-05
1,"The Mortal Instruments: City of Bones",2013-08-21
1,"Just Like Heaven",2005-09-16
1,"Did You Hear About the Morgans?",2009-12-17
1,"After the Sunset",2004-11-12
1,"Captain Corelli's Mandolin",2001-08-17
1,"Walking Tall",2004-04-02
1,"Captain Phillips",2013-10-10
1,"Tango & Cash",1989-12-22
1,"Shanghai Noon",2000-05-26
1,"The Ghost and the Darkness",1996-10-11
1,"The Watch",2012-07-26
1,"The Pirates! In an Adventure with Scientists!",2012-03-12
1,"Chain Reaction",1996-08-02
1,"Elizabeth: The Golden Age",2007-09-09
1,"Muppets Most Wanted",2014-03-20
1,Burlesque,2010-11-23
1,"Black Mass",2015-09-04
1,"The Thin Red Line",1998-12-25
1,"The Change-Up",2011-08-05
1,"From Paris with Love",2010-02-05
1,Barnyard,2006-08-04
1,Payback,1999-02-05
1,"Failure to Launch",2006-03-10
1,"Shanghai Knights",2003-02-06
1,"Curious George",2006-02-10
1,"Herbie Fully Loaded",2005-06-22
1,Syriana,2005-11-23
1,"13 Hours: The Secret Soldiers of Benghazi",2016-01-13
1,"The Book of Life",2014-10-01
1,Firewall,2006-02-10
1,"Absolute Power",1997-02-14
1,"Silent Hill",2006-04-21
1,"The Judge",2014-10-08
1,"Out of Time",2003-10-03
1,"The Adventures of Sharkboy and Lavagirl",2005-06-10
1,"Ninja Assassin",2009-09-29
1,Marmaduke,2010-06-04
1,"Murder by Numbers",2002-04-19
1,"Hannibal Rising",2007-02-06
1,"The Story of Us",1999-10-13
1,"The Host",2013-03-22
1,"The International",2009-02-03
1,"Run All Night",2015-03-11
1,"Eastern Promises",2007-09-14
1,"The Messenger: The Story of Joan of Arc",1999-10-18
1,"Fair Game",2010-05-20
1,"Beautiful Creatures",2013-02-13
1,"Zoolander 2",2016-02-06
1,"The One",2001-11-02
1,"Three Kings",1999-09-27
1,"Rat Race",2001-07-30
1,K-PAX,2001-10-22
1,Bedazzled,2000-10-19
1,"3:10 to Yuma",2007-09-06
1,"Out of Sight",1998-06-26
1,"Tin Cup",1996-08-16
1,"Kicking & Screaming",2005-05-13
1,Savages,2012-07-06
1,"The Ant Bully",2006-07-27
1,"16 Blocks",2006-03-01
1,"Babylon A.D.",2008-08-20
1,"Aliens in the Attic",2009-07-31
1,"The Ghost Writer",2010-02-12
1,"Finding Forrester",2000-12-21
1,Unleashed,2005-02-02
1,"The Sweetest Thing",2002-04-12
1,"Charlie St. Cloud",2010-05-01
1,"The Mechanic",2011-01-13
1,Boomerang,1992-06-30
1,"High Crimes",2002-04-03
1,"The Mothman Prophecies",2002-01-25
1,"A Knight's Tale",2001-05-11
1,"Man on a Ledge",2012-01-13
1,"The Last of the Mohicans",1992-09-25
1,"Small Soldiers",1998-07-10
1,"Escape from Planet Earth",2013-02-14
1,"Jersey Boys",2014-06-05
1,"The Rainmaker",1997-11-18
1,"Aliens vs Predator: Requiem",2007-12-25
1,"The Guilt Trip",2012-12-19
1,"Pay It Forward",2000-10-12
1,"Fever Pitch",2005-04-06
1,"The Shadow",1994-07-01
1,"Extremely Loud & Incredibly Close",2011-12-24
1,"Morning Glory",2010-01-12
1,"Get Rich or Die Tryin'",2005-11-09
1,"The Island of Dr. Moreau",1996-08-23
1,"Sweet November",2001-02-16
1,"The Reaping",2007-04-05
1,Colombiana,2011-07-27
1,Torque,2004-01-16
1,"Marie Antoinette",2006-05-24
1,"Fantastic Mr. Fox",2009-10-23
1,"Superman III",1983-06-17
1,"Grudge Match",2013-12-25
1,"Red Cliff",2008-07-10
1,"The Hurricane",1999-09-17
1,Enough,2002-05-24
1,"The Ninth Gate",1999-08-24
1,"The Thing",1982-06-25
1,"What to Expect When You're Expecting",2012-05-17
1,Magnolia,1999-12-08
1,"Cop Out",2010-02-26
1,"Blue Streak",1999-09-17
1,Breakdown,1997-05-02
1,"Hot Tub Time Machine",2010-03-26
1,"Dolphin Tale 2",2014-09-12
1,"A Man Apart",2003-04-04
1,"Space Chimps",2008-07-17
1,21,2008-03-27
1,"Guess Who",2005-03-25
1,Secretariat,2010-08-20
1,Radio,2003-10-24
1,"Malcolm X",1992-11-18
1,"License to Wed",2007-07-04
1,"Must Love Dogs",2005-07-21
1,"Donnie Brasco",1997-02-27
1,"Something Borrowed",2011-05-05
1,"The Bad News Bears",1976-04-07
1,"House of Wax",2005-04-30
1,"Queen of the Damned",2002-02-10
1,"Predator 2",1990-11-20
1,"Blast from the Past",1999-02-12
1,"Jersey Girl",2004-03-25
1,Concussion,2015-11-12
1,"Hot Pursuit",2015-05-08
1,Parker,2013-01-23
1,Wimbledon,2004-09-13
1,"Furry Vengeance",2010-04-02
1,"Lions for Lambs",2007-10-22
1,"The Tree of Life",2011-05-18
1,"The Walk",2015-09-30
1,"A Good Year",2006-09-09
1,"The Longest Ride",2015-04-09
1,Reds,1981-12-25
1,"Exit Wounds",2001-03-13
1,"Snakes on a Plane",2006-08-06
1,"The Punisher",2004-04-15
1,Safe,2012-04-16
1,Stigmata,1999-09-10
1,"Men of Honor",2000-09-13
1,Alive,1993-01-15
1,"A History of Violence",2005-09-23
1,"Laws of Attraction",2004-04-04
1,"Going the Distance",2010-09-01
1,Arachnophobia,1990-08-09
1,Looper,2012-09-26
1,Blow,2001-04-04
1,"Message in a Bottle",1999-02-22
1,"The Naked Gun 33⅓: The Final Insult",1994-03-18
1,"Black Rain",1989-09-22
1,"The Three Stooges",2012-04-13
1,"Stranger Than Fiction",2006-09-09
1,"Midnight Run",1988-07-20
1,"The Running Man",1987-11-13
1,"Little Shop of Horrors",1986-12-19
1,"Mortal Kombat: Annihilation",1997-11-21
1,"Larry Crowne",2011-06-30
1,"Take the Lead",2006-03-17
1,"Gridiron Gang",2006-09-15
1,9,2009-08-19
1,"The Five-Year Engagement",2012-04-27
1,"The Next Three Days",2010-11-18
1,Ultraviolet,2006-03-03
1,"Assault on Precinct 13",2005-01-19
1,"Howard the Duck",1986-08-01
1,"Pride and Glory",2008-09-09
1,"Fright Night",2011-08-18
1,"The New World",2005-12-25
1,Godsend,2004-04-30
1,Glory,1989-12-15
1,"Miss Potter",2006-12-03
1,"Keeping the Faith",2000-04-14
1,"Confessions of a Dangerous Mind",2002-12-30
1,"Along Came a Spider",2001-04-06
1,"Florence Foster Jenkins",2016-05-06
1,"Hocus Pocus",1993-07-16
1,"30 Minutes or Less",2011-08-11
1,"Dracula 2000",2000-12-22
1,"Blade Runner",1982-06-25
1,"Rob Roy",1995-04-13
1,"3 Days to Kill",2014-02-14
1,"Just My Luck",2006-05-12
1,"The Spy Next Door",2010-01-15
1,"Welcome Home Roscoe Jenkins",2008-02-08
1,"The Sisterhood of the Traveling Pants 2",2008-08-06
1,"Dark City",1998-02-27
1,"Case 39",2009-08-13
1,"A Walk Among the Tombstones",2014-09-18
1,Clockstoppers,2002-03-17
1,Brothers,2009-01-27
1,"Agent Cody Banks 2: Destination London",2004-12-03
1,"The Raven",2012-03-09
1,"Highlander: The Final Dimension",1994-11-29
1,Self/less,2015-07-10
1,W.,2008-10-17
1,"The Best of Me",2014-10-16
1,GoodFellas,1990-09-12
1,"The Last Emperor",1987-10-21
1,"Undercover Brother",2002-05-31
1,"The Sisterhood of the Traveling Pants",2005-06-01
1,"Beauty Shop",2005-06-02
1,"Million Dollar Arm",2014-05-09
1,"The Hours",2002-12-27
1,"She's the Man",2006-03-17
1,"Tora! Tora! Tora!",1970-01-26
1,"The Sitter",2011-12-09
1,"The Shawshank Redemption",1994-09-23
1,"Crocodile Dundee in Los Angeles",2001-04-12
1,"The Gambler",2014-12-25
1,"Ice Princess",2005-03-17
1,"A Lot Like Love",2005-04-22
1,"Don't Be Afraid of the Dark",2010-11-06
1,War,2007-08-24
1,"The Box",2009-09-17
1,"The Girl Next Door",2004-04-09
1,Legend,2015-09-09
1,"Draft Day",2014-04-11
1,Carnage,2011-09-16
1,"The Best Offer",2013-01-01
1,"Little White Lies",2010-10-20
1,"The Fisher King",1991-09-09
1,"Return to Me",2000-04-07
1,"Zack and Miri Make a Porno",2008-09-18
1,"I Don't Know How She Does It",2011-09-16
1,"Joy Ride",2001-10-05
1,Haywire,2011-11-06
1,"In the Valley of Elah",2007-08-31
1,Spaceballs,1987-06-24
1,"The Informant!",2009-09-18
1,"Deuce Bigalow: European Gigolo",2005-08-06
1,"Delivery Man",2013-10-10
1,"Jay and Silent Bob Strike Back",2001-08-22
1,Homefront,2013-11-27
1,"Black Book",2006-09-01
1,Underdogs,2013-07-18
1,Hardball,2001-09-14
1,"Freedom Writers",2007-01-05
1,"The Best Little Whorehouse in Texas",1982-07-23
1,"The Tigger Movie",2000-02-11
1,"Lakeview Terrace",2008-09-19
1,"The Grudge 2",2006-10-13
1,"How Stella Got Her Groove Back",1998-08-14
1,"The Black Hole",1979-12-18
1,"Team America: World Police",2004-10-10
1,"Paint Your Wagon",1969-10-15
1,"Ghost Ship",2002-10-25
1,"A Very Harold & Kumar Christmas",2011-11-04
1,"High Fidelity",2000-03-17
1,"You Again",2010-09-24
1,"Alpha and Omega",2010-09-17
1,"The Covenant",2006-09-08
1,"To Die For",1995-05-20
1,Appaloosa,2008-09-12
1,"My Best Friend's Girl",2008-09-19
1,"Endless Love",2014-02-12
1,"Reign Over Me",2007-03-23
1,"From Dusk Till Dawn",1996-01-19
1,"Secret in Their Eyes",2015-10-14
1,Armored,2009-12-04
1,"What's Your Number?",2011-09-30
1,Lockout,2012-04-12
1,"Crank: High Voltage",2009-04-16
1,"Let Me In",2010-10-01
1,Burnt,2015-10-02
1,"Machete Kills",2013-09-12
1,"A Dangerous Method",2011-09-30
1,"Leap Year",2010-01-08
1,Adaptation.,2002-12-06
1,"The Invention of Lying",2009-09-13
1,"Left Behind",2014-10-03
1,Catch-22,1970-06-24
1,"Raging Bull",1980-11-14
1,"127 Hours",2010-11-05
1,"Love the Coopers",2015-11-12
1,"Steve Jobs",2015-10-09
1,"The Tailor of Panama",2001-02-11
1,"And So It Goes",2014-07-20
1,"Labor Day",2013-12-27
1,"Mongol: The Rise of Genghis Khan",2007-09-20
1,RockNRolla,2008-09-04
1,"The Railway Man",2013-12-26
1,"The Wraith",1986-11-21
1,Beerfest,2006-08-25
1,"A Night at the Roxbury",1998-10-01
1,ATL,2006-03-31
1,"Brooklyn's Finest",2009-01-16
1,"My Life in Ruins",2009-02-06
1,"Superman IV: The Quest for Peace",1987-07-23
1,"House of Sand and Fog",2003-12-19
1,"Baby Boy",2001-06-27
1,"Joe Dirt",2001-04-10
1,"Boys and Girls",2000-06-16
1,"Jennifer's Body",2009-09-18
1,"The Thirteenth Floor",1999-04-16
